Id2,Geography,Total; Estimate; Average household size
6075010100,"Census Tract 101, San Francisco County, California",1.63
6075010200,"Census Tract 102, San Francisco County, California",1.51
6075010300,"Census Tract 103, San Francisco County, California",2.26
6075010400,"Census Tract 104, San Francisco County, California",1.94
6075010500,"Census Tract 105, San Francisco County, California",1.59
6075010600,"Census Tract 106, San Francisco County, California",2.08
6075010700,"Census Tract 107, San Francisco County, California",2.08
6075010800,"Census Tract 108, San Francisco County, California",1.95
6075010900,"Census Tract 109, San Francisco County, California",1.74
6075011000,"Census Tract 110, San Francisco County, California",1.96
6075011100,"Census Tract 111, San Francisco County, California",1.67
6075011200,"Census Tract 112, San Francisco County, California",1.97
6075011300,"Census Tract 113, San Francisco County, California",2.08
6075011700,"Census Tract 117, San Francisco County, California",1.44
6075011800,"Census Tract 118, San Francisco County, California",2.33
6075011901,"Census Tract 119.01, San Francisco County, California",1.5
6075011902,"Census Tract 119.02, San Francisco County, California",1.72
6075012000,"Census Tract 120, San Francisco County, California",1.35
6075012100,"Census Tract 121, San Francisco County, California",1.52
6075012201,"Census Tract 122.01, San Francisco County, California",1.7
6075012202,"Census Tract 122.02, San Francisco County, California",1.57
6075012301,"Census Tract 123.01, San Francisco County, California",1.45
6075012302,"Census Tract 123.02, San Francisco County, California",1.36
6075012401,"Census Tract 124.01, San Francisco County, California",1.84
6075012402,"Census Tract 124.02, San Francisco County, California",1.43
6075012501,"Census Tract 125.01, San Francisco County, California",1.53
6075012502,"Census Tract 125.02, San Francisco County, California",1.66
6075012601,"Census Tract 126.01, San Francisco County, California",1.58
6075012602,"Census Tract 126.02, San Francisco County, California",1.73
6075012700,"Census Tract 127, San Francisco County, California",1.76
6075012800,"Census Tract 128, San Francisco County, California",1.9
6075012901,"Census Tract 129.01, San Francisco County, California",1.63
6075012902,"Census Tract 129.02, San Francisco County, California",1.53
6075013000,"Census Tract 130, San Francisco County, California",1.62
6075013101,"Census Tract 131.01, San Francisco County, California",1.54
6075013102,"Census Tract 131.02, San Francisco County, California",1.69
6075013200,"Census Tract 132, San Francisco County, California",1.86
6075013300,"Census Tract 133, San Francisco County, California",2.17
6075013400,"Census Tract 134, San Francisco County, California",1.96
6075013500,"Census Tract 135, San Francisco County, California",1.52
6075015100,"Census Tract 151, San Francisco County, California",1.32
6075015200,"Census Tract 152, San Francisco County, California",1.64
6075015300,"Census Tract 153, San Francisco County, California",2.13
6075015400,"Census Tract 154, San Francisco County, California",2
6075015500,"Census Tract 155, San Francisco County, California",1.61
6075015600,"Census Tract 156, San Francisco County, California",2.3
6075015700,"Census Tract 157, San Francisco County, California",2.08
6075015801,"Census Tract 158.01, San Francisco County, California",2.03
6075015802,"Census Tract 158.02, San Francisco County, California",1.8
6075015900,"Census Tract 159, San Francisco County, California",1.83
6075016000,"Census Tract 160, San Francisco County, California",1.53
6075016100,"Census Tract 161, San Francisco County, California",1.7
6075016200,"Census Tract 162, San Francisco County, California",1.6
6075016300,"Census Tract 163, San Francisco County, California",2.18
6075016400,"Census Tract 164, San Francisco County, California",1.99
6075016500,"Census Tract 165, San Francisco County, California",2.03
6075016600,"Census Tract 166, San Francisco County, California",2.07
6075016700,"Census Tract 167, San Francisco County, California",2.18
6075016801,"Census Tract 168.01, San Francisco County, California",2.05
6075016802,"Census Tract 168.02, San Francisco County, California",1.85
6075016900,"Census Tract 169, San Francisco County, California",1.82
6075017000,"Census Tract 170, San Francisco County, California",1.85
6075017101,"Census Tract 171.01, San Francisco County, California",1.98
6075017102,"Census Tract 171.02, San Francisco County, California",2.11
6075017601,"Census Tract 176.01, San Francisco County, California",1.81
6075017700,"Census Tract 177, San Francisco County, California",2.3
6075017801,"Census Tract 178.01, San Francisco County, California",1.35
6075017802,"Census Tract 178.02, San Francisco County, California",2.02
6075017902,"Census Tract 179.02, San Francisco County, California",3.16
6075018000,"Census Tract 180, San Francisco County, California",1.71
6075020100,"Census Tract 201, San Francisco County, California",1.98
6075020200,"Census Tract 202, San Francisco County, California",1.95
6075020300,"Census Tract 203, San Francisco County, California",1.9
6075020401,"Census Tract 204.01, San Francisco County, California",1.93
6075020402,"Census Tract 204.02, San Francisco County, California",1.66
6075020500,"Census Tract 205, San Francisco County, California",1.85
6075020600,"Census Tract 206, San Francisco County, California",1.88
6075020700,"Census Tract 207, San Francisco County, California",2.02
6075020800,"Census Tract 208, San Francisco County, California",2.57
6075020900,"Census Tract 209, San Francisco County, California",2.7
6075021000,"Census Tract 210, San Francisco County, California",1.98
6075021100,"Census Tract 211, San Francisco County, California",2.12
6075021200,"Census Tract 212, San Francisco County, California",2
6075021300,"Census Tract 213, San Francisco County, California",2.09
6075021400,"Census Tract 214, San Francisco County, California",2.06
6075021500,"Census Tract 215, San Francisco County, California",2.21
6075021600,"Census Tract 216, San Francisco County, California",1.92
6075021700,"Census Tract 217, San Francisco County, California",2.01
6075021800,"Census Tract 218, San Francisco County, California",2.19
6075022600,"Census Tract 226, San Francisco County, California",1.94
6075022702,"Census Tract 227.02, San Francisco County, California",2.13
6075022704,"Census Tract 227.04, San Francisco County, California",2.03
6075022801,"Census Tract 228.01, San Francisco County, California",2.5
6075022802,"Census Tract 228.02, San Francisco County, California",3.14
6075022803,"Census Tract 228.03, San Francisco County, California",3.14
6075022901,"Census Tract 229.01, San Francisco County, California",3.25
6075022902,"Census Tract 229.02, San Francisco County, California",2.95
6075022903,"Census Tract 229.03, San Francisco County, California",2.8
6075023001,"Census Tract 230.01, San Francisco County, California",3.74
6075023003,"Census Tract 230.03, San Francisco County, California",3.47
6075023102,"Census Tract 231.02, San Francisco County, California",2.86
6075023103,"Census Tract 231.03, San Francisco County, California",3.07
6075023200,"Census Tract 232, San Francisco County, California",3.38
6075023300,"Census Tract 233, San Francisco County, California",4.28
6075023400,"Census Tract 234, San Francisco County, California",3.84
6075025100,"Census Tract 251, San Francisco County, California",2.43
6075025200,"Census Tract 252, San Francisco County, California",2.59
6075025300,"Census Tract 253, San Francisco County, California",2.56
6075025401,"Census Tract 254.01, San Francisco County, California",2.76
6075025402,"Census Tract 254.02, San Francisco County, California",2.72
6075025403,"Census Tract 254.03, San Francisco County, California",3.71
6075025500,"Census Tract 255, San Francisco County, California",3.55
6075025600,"Census Tract 256, San Francisco County, California",3.69
6075025701,"Census Tract 257.01, San Francisco County, California",3.56
6075025702,"Census Tract 257.02, San Francisco County, California",3.52
6075025800,"Census Tract 258, San Francisco County, California",3.39
6075025900,"Census Tract 259, San Francisco County, California",3.2
6075026001,"Census Tract 260.01, San Francisco County, California",4.08
6075026002,"Census Tract 260.02, San Francisco County, California",3.44
6075026003,"Census Tract 260.03, San Francisco County, California",3.48
6075026004,"Census Tract 260.04, San Francisco County, California",3.81
6075026100,"Census Tract 261, San Francisco County, California",3.51
6075026200,"Census Tract 262, San Francisco County, California",4.03
6075026301,"Census Tract 263.01, San Francisco County, California",3.73
6075026302,"Census Tract 263.02, San Francisco County, California",3.39
6075026303,"Census Tract 263.03, San Francisco County, California",4.4
6075026401,"Census Tract 264.01, San Francisco County, California",3.78
6075026402,"Census Tract 264.02, San Francisco County, California",3.85
6075026403,"Census Tract 264.03, San Francisco County, California",3.79
6075026404,"Census Tract 264.04, San Francisco County, California",4.11
6075030101,"Census Tract 301.01, San Francisco County, California",2.24
6075030102,"Census Tract 301.02, San Francisco County, California",2.04
6075030201,"Census Tract 302.01, San Francisco County, California",2.26
6075030202,"Census Tract 302.02, San Francisco County, California",2.05
6075030301,"Census Tract 303.01, San Francisco County, California",2.58
6075030302,"Census Tract 303.02, San Francisco County, California",2.96
6075030400,"Census Tract 304, San Francisco County, California",2.77
6075030500,"Census Tract 305, San Francisco County, California",2.12
6075030600,"Census Tract 306, San Francisco County, California",2.54
6075030700,"Census Tract 307, San Francisco County, California",2.53
6075030800,"Census Tract 308, San Francisco County, California",2.49
6075030900,"Census Tract 309, San Francisco County, California",2.74
6075031000,"Census Tract 310, San Francisco County, California",2.63
6075031100,"Census Tract 311, San Francisco County, California",2.64
6075031201,"Census Tract 312.01, San Francisco County, California",3.85
6075031202,"Census Tract 312.02, San Francisco County, California",3.66
6075031301,"Census Tract 313.01, San Francisco County, California",3.26
6075031302,"Census Tract 313.02, San Francisco County, California",3.19
6075031400,"Census Tract 314, San Francisco County, California",3.55
6075032601,"Census Tract 326.01, San Francisco County, California",2.65
6075032602,"Census Tract 326.02, San Francisco County, California",2.77
6075032700,"Census Tract 327, San Francisco County, California",2.85
6075032801,"Census Tract 328.01, San Francisco County, California",2.98
6075032802,"Census Tract 328.02, San Francisco County, California",2.78
6075032901,"Census Tract 329.01, San Francisco County, California",3.12
6075032902,"Census Tract 329.02, San Francisco County, California",2.81
6075033000,"Census Tract 330, San Francisco County, California",3.05
6075033100,"Census Tract 331, San Francisco County, California",2.89
6075033201,"Census Tract 332.01, San Francisco County, California",2.8
6075033203,"Census Tract 332.03, San Francisco County, California",2.68
6075033204,"Census Tract 332.04, San Francisco County, California",2.38
6075035100,"Census Tract 351, San Francisco County, California",2.87
6075035201,"Census Tract 352.01, San Francisco County, California",2.76
6075035202,"Census Tract 352.02, San Francisco County, California",2.6
6075035300,"Census Tract 353, San Francisco County, California",3.23
6075035400,"Census Tract 354, San Francisco County, California",2.78
6075040100,"Census Tract 401, San Francisco County, California",2.25
6075040200,"Census Tract 402, San Francisco County, California",2.45
6075042601,"Census Tract 426.01, San Francisco County, California",2.3
6075042602,"Census Tract 426.02, San Francisco County, California",2.54
6075042700,"Census Tract 427, San Francisco County, California",2.54
6075042800,"Census Tract 428, San Francisco County, California",2.5
6075045100,"Census Tract 451, San Francisco County, California",2.21
6075045200,"Census Tract 452, San Francisco County, California",2.41
6075047600,"Census Tract 476, San Francisco County, California",2.44
6075047701,"Census Tract 477.01, San Francisco County, California",2.25
6075047702,"Census Tract 477.02, San Francisco County, California",2.64
6075047801,"Census Tract 478.01, San Francisco County, California",2.65
6075047802,"Census Tract 478.02, San Francisco County, California",2.58
6075047901,"Census Tract 479.01, San Francisco County, California",2.51
6075047902,"Census Tract 479.02, San Francisco County, California",2.44
6075060100,"Census Tract 601, San Francisco County, California",2.64
6075060400,"Census Tract 604, San Francisco County, California",1.68
6075060502,"Census Tract 605.02, San Francisco County, California",3.15
6075060700,"Census Tract 607, San Francisco County, California",1.98
6075061000,"Census Tract 610, San Francisco County, California",2.96
6075061100,"Census Tract 611, San Francisco County, California",2.09
6075061200,"Census Tract 612, San Francisco County, California",3.46
6075061400,"Census Tract 614, San Francisco County, California",2.27
6075061500,"Census Tract 615, San Francisco County, California",1.68
6075980200,"Census Tract 9802, San Francisco County, California",2.04
6075980300,"Census Tract 9803, San Francisco County, California",-
6075980401,"Census Tract 9804.01, San Francisco County, California",-
6075980501,"Census Tract 9805.01, San Francisco County, California",2.4
6075980600,"Census Tract 9806, San Francisco County, California",2.46
6075980900,"Census Tract 9809, San Francisco County, California",1.85
6075990100,"Census Tract 9901, San Francisco County, California",-