Id2,Geography,Total; Margin of Error; Population 25 years and over - Bachelor's degree
6075010100,"Census Tract 101, San Francisco County, California",6.2
6075010200,"Census Tract 102, San Francisco County, California",5.6
6075010300,"Census Tract 103, San Francisco County, California",5.8
6075010400,"Census Tract 104, San Francisco County, California",6.2
6075010500,"Census Tract 105, San Francisco County, California",7.8
6075010600,"Census Tract 106, San Francisco County, California",6.2
6075010700,"Census Tract 107, San Francisco County, California",4.5
6075010800,"Census Tract 108, San Francisco County, California",6.2
6075010900,"Census Tract 109, San Francisco County, California",5.6
6075011000,"Census Tract 110, San Francisco County, California",6.8
6075011100,"Census Tract 111, San Francisco County, California",6.4
6075011200,"Census Tract 112, San Francisco County, California",6.6
6075011300,"Census Tract 113, San Francisco County, California",6.1
6075011700,"Census Tract 117, San Francisco County, California",9.1
6075011800,"Census Tract 118, San Francisco County, California",3.9
6075011901,"Census Tract 119.01, San Francisco County, California",7.8
6075011902,"Census Tract 119.02, San Francisco County, California",9.2
6075012000,"Census Tract 120, San Francisco County, California",8.1
6075012100,"Census Tract 121, San Francisco County, California",6.7
6075012201,"Census Tract 122.01, San Francisco County, California",7
6075012202,"Census Tract 122.02, San Francisco County, California",7.6
6075012301,"Census Tract 123.01, San Francisco County, California",6.6
6075012302,"Census Tract 123.02, San Francisco County, California",7.8
6075012401,"Census Tract 124.01, San Francisco County, California",4.9
6075012402,"Census Tract 124.02, San Francisco County, California",10
6075012501,"Census Tract 125.01, San Francisco County, California",7.3
6075012502,"Census Tract 125.02, San Francisco County, California",4.3
6075012601,"Census Tract 126.01, San Francisco County, California",9.1
6075012602,"Census Tract 126.02, San Francisco County, California",7.9
6075012700,"Census Tract 127, San Francisco County, California",7.6
6075012800,"Census Tract 128, San Francisco County, California",7.2
6075012901,"Census Tract 129.01, San Francisco County, California",7.4
6075012902,"Census Tract 129.02, San Francisco County, California",7.6
6075013000,"Census Tract 130, San Francisco County, California",7.2
6075013101,"Census Tract 131.01, San Francisco County, California",6.7
6075013102,"Census Tract 131.02, San Francisco County, California",8.2
6075013200,"Census Tract 132, San Francisco County, California",6.4
6075013300,"Census Tract 133, San Francisco County, California",6.4
6075013400,"Census Tract 134, San Francisco County, California",6.7
6075013500,"Census Tract 135, San Francisco County, California",6.3
6075015100,"Census Tract 151, San Francisco County, California",6.6
6075015200,"Census Tract 152, San Francisco County, California",6
6075015300,"Census Tract 153, San Francisco County, California",7.3
6075015400,"Census Tract 154, San Francisco County, California",6.6
6075015500,"Census Tract 155, San Francisco County, California",8
6075015600,"Census Tract 156, San Francisco County, California",8.3
6075015700,"Census Tract 157, San Francisco County, California",4.8
6075015801,"Census Tract 158.01, San Francisco County, California",6.4
6075015802,"Census Tract 158.02, San Francisco County, California",7
6075015900,"Census Tract 159, San Francisco County, California",7.7
6075016000,"Census Tract 160, San Francisco County, California",6.5
6075016100,"Census Tract 161, San Francisco County, California",6.6
6075016200,"Census Tract 162, San Francisco County, California",6.6
6075016300,"Census Tract 163, San Francisco County, California",9.9
6075016400,"Census Tract 164, San Francisco County, California",5.3
6075016500,"Census Tract 165, San Francisco County, California",6.1
6075016600,"Census Tract 166, San Francisco County, California",6
6075016700,"Census Tract 167, San Francisco County, California",4.9
6075016801,"Census Tract 168.01, San Francisco County, California",6.3
6075016802,"Census Tract 168.02, San Francisco County, California",6.7
6075016900,"Census Tract 169, San Francisco County, California",5.7
6075017000,"Census Tract 170, San Francisco County, California",5.5
6075017101,"Census Tract 171.01, San Francisco County, California",7.3
6075017102,"Census Tract 171.02, San Francisco County, California",6.4
6075017601,"Census Tract 176.01, San Francisco County, California",5.8
6075017700,"Census Tract 177, San Francisco County, California",7.6
6075017801,"Census Tract 178.01, San Francisco County, California",5.2
6075017802,"Census Tract 178.02, San Francisco County, California",7
6075017902,"Census Tract 179.02, San Francisco County, California",9.1
6075018000,"Census Tract 180, San Francisco County, California",5.1
6075020100,"Census Tract 201, San Francisco County, California",6.7
6075020200,"Census Tract 202, San Francisco County, California",5.7
6075020300,"Census Tract 203, San Francisco County, California",5.5
6075020401,"Census Tract 204.01, San Francisco County, California",6.8
6075020402,"Census Tract 204.02, San Francisco County, California",6
6075020500,"Census Tract 205, San Francisco County, California",5.5
6075020600,"Census Tract 206, San Francisco County, California",6.7
6075020700,"Census Tract 207, San Francisco County, California",5.9
6075020800,"Census Tract 208, San Francisco County, California",5.1
6075020900,"Census Tract 209, San Francisco County, California",4.8
6075021000,"Census Tract 210, San Francisco County, California",6.6
6075021100,"Census Tract 211, San Francisco County, California",6.6
6075021200,"Census Tract 212, San Francisco County, California",6.1
6075021300,"Census Tract 213, San Francisco County, California",5.3
6075021400,"Census Tract 214, San Francisco County, California",5.1
6075021500,"Census Tract 215, San Francisco County, California",6.1
6075021600,"Census Tract 216, San Francisco County, California",6.2
6075021700,"Census Tract 217, San Francisco County, California",5.8
6075021800,"Census Tract 218, San Francisco County, California",3.9
6075022600,"Census Tract 226, San Francisco County, California",6.7
6075022702,"Census Tract 227.02, San Francisco County, California",5.4
6075022704,"Census Tract 227.04, San Francisco County, California",5.4
6075022801,"Census Tract 228.01, San Francisco County, California",5
6075022802,"Census Tract 228.02, San Francisco County, California",6.7
6075022803,"Census Tract 228.03, San Francisco County, California",5.3
6075022901,"Census Tract 229.01, San Francisco County, California",4.4
6075022902,"Census Tract 229.02, San Francisco County, California",6.5
6075022903,"Census Tract 229.03, San Francisco County, California",6.7
6075023001,"Census Tract 230.01, San Francisco County, California",3.4
6075023003,"Census Tract 230.03, San Francisco County, California",5.9
6075023102,"Census Tract 231.02, San Francisco County, California",3.8
6075023103,"Census Tract 231.03, San Francisco County, California",6.9
6075023200,"Census Tract 232, San Francisco County, California",5.4
6075023300,"Census Tract 233, San Francisco County, California",3.5
6075023400,"Census Tract 234, San Francisco County, California",6.5
6075025100,"Census Tract 251, San Francisco County, California",6.4
6075025200,"Census Tract 252, San Francisco County, California",6.8
6075025300,"Census Tract 253, San Francisco County, California",5.7
6075025401,"Census Tract 254.01, San Francisco County, California",5.9
6075025402,"Census Tract 254.02, San Francisco County, California",6.8
6075025403,"Census Tract 254.03, San Francisco County, California",5
6075025500,"Census Tract 255, San Francisco County, California",4.8
6075025600,"Census Tract 256, San Francisco County, California",4.4
6075025701,"Census Tract 257.01, San Francisco County, California",4.6
6075025702,"Census Tract 257.02, San Francisco County, California",5.2
6075025800,"Census Tract 258, San Francisco County, California",3.7
6075025900,"Census Tract 259, San Francisco County, California",5
6075026001,"Census Tract 260.01, San Francisco County, California",4
6075026002,"Census Tract 260.02, San Francisco County, California",3.2
6075026003,"Census Tract 260.03, San Francisco County, California",4.9
6075026004,"Census Tract 260.04, San Francisco County, California",6.6
6075026100,"Census Tract 261, San Francisco County, California",4.5
6075026200,"Census Tract 262, San Francisco County, California",3.5
6075026301,"Census Tract 263.01, San Francisco County, California",5.8
6075026302,"Census Tract 263.02, San Francisco County, California",5.7
6075026303,"Census Tract 263.03, San Francisco County, California",4.5
6075026401,"Census Tract 264.01, San Francisco County, California",4
6075026402,"Census Tract 264.02, San Francisco County, California",5.8
6075026403,"Census Tract 264.03, San Francisco County, California",5.3
6075026404,"Census Tract 264.04, San Francisco County, California",3.8
6075030101,"Census Tract 301.01, San Francisco County, California",5.3
6075030102,"Census Tract 301.02, San Francisco County, California",4.9
6075030201,"Census Tract 302.01, San Francisco County, California",5.6
6075030202,"Census Tract 302.02, San Francisco County, California",6.2
6075030301,"Census Tract 303.01, San Francisco County, California",5.7
6075030302,"Census Tract 303.02, San Francisco County, California",6.6
6075030400,"Census Tract 304, San Francisco County, California",4.5
6075030500,"Census Tract 305, San Francisco County, California",5.3
6075030600,"Census Tract 306, San Francisco County, California",4.8
6075030700,"Census Tract 307, San Francisco County, California",7
6075030800,"Census Tract 308, San Francisco County, California",6.3
6075030900,"Census Tract 309, San Francisco County, California",5
6075031000,"Census Tract 310, San Francisco County, California",6.3
6075031100,"Census Tract 311, San Francisco County, California",6.6
6075031201,"Census Tract 312.01, San Francisco County, California",3.8
6075031202,"Census Tract 312.02, San Francisco County, California",3.7
6075031301,"Census Tract 313.01, San Francisco County, California",6.9
6075031302,"Census Tract 313.02, San Francisco County, California",6.3
6075031400,"Census Tract 314, San Francisco County, California",3.6
6075032601,"Census Tract 326.01, San Francisco County, California",6.9
6075032602,"Census Tract 326.02, San Francisco County, California",5.2
6075032700,"Census Tract 327, San Francisco County, California",4.5
6075032801,"Census Tract 328.01, San Francisco County, California",5.4
6075032802,"Census Tract 328.02, San Francisco County, California",5.2
6075032901,"Census Tract 329.01, San Francisco County, California",5
6075032902,"Census Tract 329.02, San Francisco County, California",5.3
6075033000,"Census Tract 330, San Francisco County, California",4.3
6075033100,"Census Tract 331, San Francisco County, California",5.8
6075033201,"Census Tract 332.01, San Francisco County, California",8.8
6075033203,"Census Tract 332.03, San Francisco County, California",6.6
6075033204,"Census Tract 332.04, San Francisco County, California",8.4
6075035100,"Census Tract 351, San Francisco County, California",4.4
6075035201,"Census Tract 352.01, San Francisco County, California",4.1
6075035202,"Census Tract 352.02, San Francisco County, California",5.1
6075035300,"Census Tract 353, San Francisco County, California",4.9
6075035400,"Census Tract 354, San Francisco County, California",4.8
6075040100,"Census Tract 401, San Francisco County, California",7.3
6075040200,"Census Tract 402, San Francisco County, California",7.2
6075042601,"Census Tract 426.01, San Francisco County, California",6.6
6075042602,"Census Tract 426.02, San Francisco County, California",7.2
6075042700,"Census Tract 427, San Francisco County, California",6
6075042800,"Census Tract 428, San Francisco County, California",5.5
6075045100,"Census Tract 451, San Francisco County, California",7.8
6075045200,"Census Tract 452, San Francisco County, California",6.8
6075047600,"Census Tract 476, San Francisco County, California",5.4
6075047701,"Census Tract 477.01, San Francisco County, California",4
6075047702,"Census Tract 477.02, San Francisco County, California",4
6075047801,"Census Tract 478.01, San Francisco County, California",5.8
6075047802,"Census Tract 478.02, San Francisco County, California",5.5
6075047901,"Census Tract 479.01, San Francisco County, California",5.2
6075047902,"Census Tract 479.02, San Francisco County, California",5.1
6075060100,"Census Tract 601, San Francisco County, California",7.2
6075060400,"Census Tract 604, San Francisco County, California",9.5
6075060502,"Census Tract 605.02, San Francisco County, California",5.1
6075060700,"Census Tract 607, San Francisco County, California",6.1
6075061000,"Census Tract 610, San Francisco County, California",6.1
6075061100,"Census Tract 611, San Francisco County, California",2.8
6075061200,"Census Tract 612, San Francisco County, California",4.3
6075061400,"Census Tract 614, San Francisco County, California",6.5
6075061500,"Census Tract 615, San Francisco County, California",6.4
6075980200,"Census Tract 9802, San Francisco County, California",13.9
6075980300,"Census Tract 9803, San Francisco County, California",16.1
6075980401,"Census Tract 9804.01, San Francisco County, California",**
6075980501,"Census Tract 9805.01, San Francisco County, California",8.8
6075980600,"Census Tract 9806, San Francisco County, California",12.4
6075980900,"Census Tract 9809, San Francisco County, California",15.1
6075990100,"Census Tract 9901, San Francisco County, California",**